document,summary
"Artykov finished third in the men's -69kg weightlifting competition. The Court of Arbitration for Sport said the 22-year-old's ""medal is forfeited"" and ""he is excluded from the Games"" after testing positive for strychnine. The bronze medal will be reallocated by the weightlifting federation and the International Olympic Committee. Colombian Luis Javier Mosquera Lozano would be the weightlifter to move into the bronze medal position, having finished fourth. Meanwhile, Moldovan canoeist Serghei Tarnovschi has been provisionally suspended for failing a drug test. The 19-year-old was set to compete in the 1,000m C2 event on Friday with his older brother, Oleg. However, the International Canoe Federation said Tarnovschi - who won C1 1,000m bronze on Thursday - will ""no longer be eligible"". Subscribe to the BBC Sport newsletter to get our pick of news, features and video sent to your inbox.",Kyrgyzstan weightlifter Izzat Artykov has become the first Rio medallist to test positive for a banned substance and has been stripped of his bronze.
"Notts leg-spinner Imran Tahir led the recovery with 7-112 as Somerset were all out for 437 - a lead of 36. Resuming on 244-3, South Africa international Tahir claimed six of the seven Somerset wickets to fall on a scorching day - including Trescothick, who added 101 to his overnight 117. Notts lost Steven Mullaney and Michael Lumb early, before closing on 58-2. Trescothick, who equalled Somerset's record for the most first-class centuries with his 49th on Monday, was in wonderful form once again despite stifling temperatures. The 40-year-old brought up his double century off 323 balls with a trademark cover drive off Samit Patel - his 31st boundary - before he was the last man to go, chipping Tahir to cover. Somerset looked set for a much bigger lead as Trescothick and Jim Allenby's hundred partnership took them to 379-4 and within 22 of the hosts. But once Allenby was bowled by Patel for 63, Tahir tore through the rest of the batting order as Somerset lost their last five wickets for 37. The procession of afternoon wickets continued in Nottinghamshire's second innings as Craig Overton pinned first-innings centurion Mullaney lbw and Allenby bowled Lumb without scoring in the next over. Jake Libby and Brendan Taylor batted out the final hour to give Notts a lead of 22 at stumps.",Somerset opener Marcus Trescothick hit a superb 218 before Nottinghamshire fought back at Trent Bridge.
"The 22-year-old midfielder returns to his native Denmark, having been unable to establish himself as a first-team regular since his arrival from FC Midtjylland in January 2012. He made his Fulham debut in 2014 and played a total of 68 games for the club, scoring seven goals. Christensen ended last season on loan at Burton Albion, along with Fulham forward Cauley Woodrow. He featured for Denmark in this summer's European Under-21 Championship. Find all the latest football transfers on our dedicated page.",Lasse Vigen Christensen has left Fulham to join Brondby for an undisclosed fee.
"It meant they only managed a single batting point, having begun the game at Beckenham 24 behind leaders Essex. Opener Sean Dickson made 63 as they reached 146-7 before Will Gidman (51) and Matt Coles (52) led a recovery. South African paceman Rory Kleinveldt took 3-70 for the visitors, who had made 31-0 in reply by the close. Kent need to win and hope that leaders Essex slip up against Glamorgan next week before the two meet in the final round of matches. But their first-innings total means they can take no more than 20 points from the game, so Essex will only need 21 from their two remaining fixtures to clinch the Division Two title. The day's statistical high point came when Gidman was caught by Kleinveldt off spinner Graeme White, his first dismissal for Kent after three unbeaten half centuries, giving him an average of 283. Northants were left to face 11 overs in the final session and Ben Duckett (19 not out) and Rob Newton came through them unscathed.",Kent suffered a blow to their promotion hopes as they were bowled out for 230 on the opening day of their penultimate Championship game against Northants.
"The court upheld a Chilean prison sentence for Hartmut Hopp, a German citizen in his seventies. Hopp worked with Paul SchÃ¤fer, a former Nazi soldier who founded the commune in southern Chile 1961. Residents were indoctrinated and kept as virtual slaves for more than 30 years. Hopp's lawyer says he will appeal against the sentence. SchÃ¤fer also collaborated with the government of Augusto Pinochet whose secret police used the colony around 350km (215 miles) south of the capital, Santiago, as a place of torture and to ""disappear"" his opponents. Germany last year said it would declassify its files on the sect, and the foreign minister at the time, Frank-Walter Steinmeier, admitted that the diplomatic service had failed to stop the abuses. The scale of the abuses only came to light after SchÃ¤fer faced a series of lawsuits in 1997. He fled Chile and was arrested in Argentina in 2005. He was convicted in Chile of sexual abuse of children, weapons possession and human rights violations. He died in a Chilean jail in 2010 at the age of 88.",A German court has sentenced a doctor who fled Chile to five years in prison for involvement in child sex abuse at a commune called Colonia Dignidad.
Craig Peacock fired the hosts into a ninth minute lead but Manchester hit back three minutes later courtesy of Vinny Scarsella's breakaway goal. Storm moved in front six seconds before the end of the second period with Luke Salazar finishing an excellent move. A short-handed empty net goal from Matthew Davies in the final minute sealed the win.,Belfast Giants suffered a 3-1 defeat by Manchester Storm in Sunday's Elite League clash at the SSE Arena.
"Jeremiah Regis, aged two-and-a-half, was found injured at an address in Wolverhampton on November 20. Sindyann Regis and Chevaze Mcgregor appeared at Wolverhampton Crown Court on Friday charged with murder. The court heard Jeremiah was found with more than 100 injuries, including a bite to the chest. A tribute released by his family said: ""Jeremiah was a lovely, quiet, innocent little boy who was always smiling. ""He will be greatly missed by his Nanna and entire family."" At Friday's hearing, Ms Regis, 25, of High Street, Wednesfield, and Mr Mcgregor, 27, of New Road in Rainford, Essex, spoke only to confirm their names. Judge James Burbidge adjourned the case until December and set a provisional trial date of 25 April. Jeremiah was found with head and body injuries when police and paramedics were called to an address in High Street, Wednesfield, shortly before midnight on Sunday. He was pronounced dead in hospital on 21 November. A post-mortem examination showed he died of abdominal peritonitis caused by blunt force trauma.","Tributes have been paid to an ""always smiling"" toddler whose mother and stepfather have been accused of his murder."
"9 March 2017 Last updated at 17:03 GMT The 19-year-old from Dublin is a competitive runner - but her chronic epilepsy means she has around 16 seizures a day, often during races. When other competitors see her fall to the ground, they naturally believe she needs to go to hospital - even though she normally recovers immediately and in her case, there's no need for medical intervention. Even though she's grateful for the public response, all Katie wants to do is carry on running. When she told the neurologist who's treating her condition, he offered to become her running partner - and together they've become a marathon-running team. Video by Andy Brownstone and Daniel Gordon",Katie Cooke has a lifestyle clash few others can rival.
"The National Portrait Gallery commissions feature people from the worlds of culture, politics, sport and fashion, including Dame Helen Mirren, Sir Paul Smith and Dame Kelly Holmes. The works were all commissioned as part of the BP Portrait Award first prize. 'Paul Smith to J.K. Rowling' opens at the University of Hull on Wednesday. More on this story and others from East Yorkshire and northern Lincolnshire First prize winners of the BP Portrait Award are invited to create a portrait of a public figure who has made an important contribution to British history and culture. The National Portrait Gallery said it was a ""rare opportunity"" to see all the commissions in one place. Professor Glenn Burgess, acting vice-chancellor of the University of Hull, said: ""Not only does the exhibition depict a wonderful range of famous faces, from actors to athletes and beyond, but the artists responsible have used an amazing variety of styles and compositions in creating these beautiful works."" The free exhibition runs at the Brynmor Jones Library until June.",A collection of portraits depicting a host of household names is set to open in Hull as part of its city of culture celebrations.
"Rita Wharton died when her car was hit after Anita Corless tried to overtake traffic near Welshpool, Powys. Corless, 58, originally from Milford Haven in Pembrokeshire, admitted causing death by dangerous driving. She was given a 16-month prison sentence at Mold Crown Court. The driving instructor said she had no memory of the fatal manoeuvre on the A483 road between Welshpool and Pool Quay, last March. The court heard on Tuesday how she was in a line of traffic on a straight stretch of road when she pulled out but there was insufficient room and she caused the crash. Mrs Wharton's Ford Ka, the second in line, was struck by two vehicles. A widow, said to be the lynchpin of the family, Mrs Wharton was declared dead at the scene. ""You quite inexplicably drove your vehicle into the face of on-coming traffic in an overtaking manoeuvre that was obviously dangerous,"" said Judge Niclas Parry. ""On-coming vehicles should have been visible to a careful driver. ""You are by profession a driving instructor, employed by Lancashire County Council to run speed awareness courses."" Speed awareness courses are offered by councils and police forces across Britain to avoid penalties for minor speeding offences. Corless, who was living in Bentham in North Yorkshire at the time of the incident, was herself seriously injured in the crash. The judge told her it was a thoroughly-avoidable fatality which ""must be marked by a custodial sentence"". In addition to the 16-month jail sentence, Corless was banned from driving for two-years and eight-months, and must take an extended driving test before being allowed back on the roads. The court was told that, despite her age, Mrs Wharton still worked as the head housekeeper at a pub in Powys, and lived her life like a woman in her 50s. In family impact statements, victim she was described by her daughter Diane Dunderdale as ""my best friend and my rock"".",A driving instructor heading to teach a speed awareness class has been jailed for causing a five-car smash that killed an 83-year-old woman.
"Officials said the 1.14 litre bottles of Bombay Sapphire London Dry Gin should have had 40% alcohol content by volume when the actual figure was 77%. They said the problem had been traced back to the production line. The Canadian Food Inspection Agency said no illnesses associated with the gin had been reported. Drinks giant Bacardi, which distributes Bombay Sapphire, said the affected batch was believed to have only been sold in Canada. The province of Ontario was the first to remove the gin from stores before a nationwide recall was issued. ""One batch was bottled before correct dilution to achieve the stated 40% alcohol content by volume,"" the Ontario Liquor Control Board said in a statement ""As a result, the affected batch has alcohol content by volume of 77%."" The Canadian Food Inspection Agency said the recalled gin should be thrown out or returned to the shop where it was bought. It is the second time this year that Canada has had to recall a brand of liquor because the alcohol content was too high. In March, bottles of Georgian Bay vodka were pulled from the shelves after inspectors found a batch with an alcohol content of 81% instead of the advertised 40%.",Bottles of a popular gin have been recalled across Canada after a batch was found to contain nearly twice the amount of advertised alcohol.
"The 47-year-old was on a practice run for a race in an electric car for the Amazon Prime show when the vehicle burst into flames. Hammond injured his knee and leg and in a blog entry says he had ""two sleepless nights and several hours' surgery"". The ex-Top Gear host posted photos of himself on crutches and his stitches. Another image shows his X-rays and the metal pins he has had inserted in his knee. The presenter had sustained a fracture to the knee, a spokesperson for The Grand Tour said. Writing on the Drive Tribe website, Hammond says: ""I'm pleased to announce that after two sleepless nights and several hours' surgery, my Swiss Army Knee is finished and works. ""It bends in the middle and whilst a problem at airport security, is at least rustproof. ""Back in action soon."" The incident on 10 June, which took place as Hammond completed a hill climb in the Hemberg area, was described as a ""serious crash"" by The Grand Tour. He had been driving a ""Rimac Concept One"", an electric super car built in Croatia, during filming for the show's second season. A photograph shows the burned out car overturned in a field. The Grand Tour said Hammond had ""climbed out of the car himself before the vehicle burst into flames"". It added: ""The cause of the crash is unknown and is being investigated."" The crash came 11 years after the presenter suffered life-threatening head injuries in a high-speed crash as he filmed for BBC's Top Gear. He was in a coma for two weeks after losing control of a Vampire dragster at Elvington Airfield, near York. The presenter suffered brain injuries and was in a coma for two weeks but made a full recovery.","The Grand Tour presenter Richard Hammond is vowing to be ""back in action soon"" following surgery on his knee after a car crash in Switzerland."
"The body of the 36-year-old was found in a house in Glenfinnan Road around 15:05 on Wednesday. Two officers were seen at the property on Friday afternoon. It was cordoned off by police tape and a bunch of flowers lay outside. Earlier police said a post-mortem examination would be carried out to establish the exact cause of death. They added: ""A report will be sent to the procurator fiscal.""","The death of a woman in the Maryhill area of Glasgow is not being treated as suspicious, police said."
"Carissa, who's 11, has become the youngest ever chess master in the US. So how did she get so good? The BBC went to meet her to find out. YOUR COMMENTS: My greatest achievement is being in a BAFTA winning film. It was nominated for an Oscar too. Aaron, Belfast, Northern Ireland I am really great at running and I run for my local club. Bradley, Leeds, England My biggest achievement this year would be that I have changed my class' opinion on what feminism is: from women being better than men to equality. Silvia, Oxford, England I'm proud of coming 3rd out of 10 in a national cheer leading competition. Sarah, England My two best achievements were passing my Grade 1 piano exam and winning 2nd place in a gymnastics competition! Freya, Surrey, England I'm very good at Gaelic. MichÃ©al, Donegal, Ireland I have achieved a 3A in literacy and am a school councillor. Emily, Andover, England I am best at guitar because I am on Grade 4 and have been practicing from the age of 8. Sassy, Bristol, England My achievement is when I played hockey and we got 2nd place in our group and 5th overall! Justina, London, England I'm really good at playing the steel pans. I recently achieved my bronze award, which is like a GCSE achievement. Anna, Newcastle, England My best ever achievement is getting a distinction in my dance exams. Mary, London, England I am great at golf. I am even better than my dad! Arjan, Birmingham, England I'm extremely proud of swimming for my county. Dominic, England This chat is now closed",Imagine being so good at something that at the age of 11 you're beating players who are the best in the country.
"Thermal cameras detected higher temperatures in three adjacent stones at the bottom of the Great Pyramid. Officials said possible causes included the existence of empty areas inside the pyramid, internal air currents, or the use of different building materials. It comes as experts search for hidden chambers within the pyramids. The tombs of the pharaohs Khufu (Kheops), Khafre (Khephren) and Menkaure (Mycerinus) were built in the Fourth Dynasty, about 2613-2494BC. A team of architects and scientists from Egypt, France, Canada and Japan used infrared thermography to survey the pyramids during sunrise, as the sun heats the limestone structures from the outside, as well as at sunset when they cool down. In a statement, the Egyptian antiquities ministry said the experts had ""concluded the existence of several thermal anomalies that were observed on all monuments during the heating-up or the cooling-down phases"". ""To explain such anomalies, a lot of hypotheses and possibilities could be drawn up: presence of voids behind the surface, internal air currents,"" it added. An ""particularly impressive"" anomaly was found at ground level on the eastern side of the Great Pyramid, also known as the Pyramid of Khufu, the statement said. ""The first row of the pyramid's stones are all uniform, then we come here and find that there's a difference in the formation,"" Antiquities Minister Mamdouh al-Damati said as he showed reporters the three stones showing higher temperatures. Other thermal anomalies were detected in the upper half of the Great Pyramid. The structure will be the subject of further investigation during the Operation Scan Pyramids project, which began on 25 October and is expected to last until the end of 2016.","An international team of architects and scientists have observed ""thermal anomalies"" in the pyramids of Giza, Egyptian antiquities officials say."
"Customers who pay via direct debit often receive bills based on estimated meter readings. When an actual reading is taken, the company ""back-bills"" the customer for any shortfall between payments and the energy used. Citizens Advice says that the bills hit thousands of pounds in some cases. Its research last year showed that as many as 2.1 million consumers a year receive some sort of catch up bill, at an average of Â£206. In 2007, energy suppliers signed a voluntary commitment promising not to back-bill domestic customers for energy used more than 12 months previously, if the supplier was at fault. The expansion of the market has led to concerns that some are not keeping to this agreement, and regulator Ofgem wants to write it into the rules by the winter. ""We expect suppliers to put their customers first, which is why we are proposing a new enforceable rule to provide this protection,"" said Rachel Fletcher, senior partner at Ofgem. Gillian Guy, chief executive of Citizens Advice, said: ""Shock gas and electricity bills can throw people's finances into disarray. ""We helped one person who received a bill for over Â£3,000 after their energy company stopped taking their direct debit payment but didn't tell the customer. The firm refused to apply the 12 month back-bill limit, leaving the customer to pay the full bill. ""We've long been calling on the regulator to introduce a mandatory time limit for back bills instead of relying on voluntary action, which suppliers have refused to apply in some cases."" The regulator is planning to reduce the back bill time limit when more accurate smart meters become the norm in homes. Citizens Advice is calling for this deadline to be reduced to three months.","Energy firms will be banned from charging catch-up bills for gas and electricity used more than 12 months earlier, under the regulator's plans."
"Derbyshire Police said the taxi driver might have ""crucial"" information. A 17-year-old girl from Evesham has been charged with an attempted kidnap of a child in Normanton on 21 September. Police say the driver may have picked up two teenage girls in Derby on the day of the attempted kidnap. The two girls are both described as white and age 17. One girl had shoulder length blonde or brown hair and was wearing a dark blue blouse, a long cream coat, black trousers and black high-heeled shoes. The second girl had long blonde or brown hair and is believed to be about seven months pregnant. The taxi driver or anyone else with information about the case is asked to contact police.",Detectives investigating the alleged attempted kidnap of a baby are appealing for a taxi driver to contact them.
"Bohn, ranked world number 71, had chest pains following the second round and called for a medic. ""He was taken by ambulance to Palm Beach Gardens Medical Center, where tests revealed a mild heart attack,"" a PGA Tour statement said. ""Jason is resting comfortably and in good spirits,"" his agent added. ""He is scheduled to have more tests this weekend,"" Justin Richmond said. ""We know he appreciates the concern from so many people in the PGA Tour family who have reached out."" The PGA Tour statement added Bohn's wife was at ""home in Atlanta but his in-laws joined him at the hospital, as did fellow player George McNeill, who said Bohn was in good spirits"". Bohn carded 72 in the second round, which would have seen him make the cut at the PGA National. Saturday's third round proceeded without Bohn, and finished with Spain's Sergio Garcia and Australia's Adam Scott sharing a commanding four-shot lead over America's Blayne Barber. Northern Ireland's Rory McIlroy missed the cut for a second year.",American two-time PGA Tour winner Jason Bohn has suffered a heart attack at the age of 42 during the Honda Classic in Florida.
