prompt,Title,Description,Class Index,pred_answer,score
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Loeb forced out of rally,"ESTONIA #39;s Markko Martin took the Rally of Catalonia lead today after newly-crowned world champion Sebastien Loeb, the overnight leader, was forced out of the race with a severe oil leak.",2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Adams out at Foxes,Micky Adams has quit as manager of Leicester City after the club failed to persuade him to stay. His resignation was accepted at an emergency board meeting at the Walkers Stadium this morning.,2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",ECB  quot;consensus quot; kept rates steady today,European Central Bank president Jean-Claude Trichet has said that today #39;s decision to leave euro interest rates unchanged reflected a broad consensus on the governing council of the bank.,3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.","Fossil Pushes Upright Walking Back 2 Million Years, Study Says"," quot;Dating the beginnings of bipedalism is very important in the human story because, for many experts, it would mark a clear divergence from the ancestral/ape pattern and show that the human lineage had really begun, quot; said Chris Stringer, director of the ",4.0,"{""Class Index"": ""4""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Nissan comes apart without parts,"Tokyo - Japan #39;s Nissan Motor said on Thursday that the company may have to suspend some production next March in addition to already announced suspensions, due to parts shortages, resulting in a decline of about 6 billion (R339.8 million) in annual sales ",3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",AOL Shuns Microsoft Anti-Spam Technology,"Add America Online Inc. to the growing list of companies and organizations shunning a spam-fighting proposal from Microsoft Corp. AOL cited  quot;tepid support quot; for Microsoft #39;s so-called Sender ID technology, which ",4.0,"{""Class Index"": ""3""}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Enter your e-mail:,"If you can #39;t beat Google, make it better--that seems to be the lesson of A9.com, Amazon #39;s intriguing new search site. For Web searches, A9 simply gives you Google #39;s results, but it does a lot more--for instance ",4.0,"{""Class Index"": ""3""}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Tennis: Davenport to play on,Lindsay Davenport says she plans to play in the Australian Open next January.,1.0,"{""Class Index"": ""2""}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Webmaster Worlds World of Search Conference Features 70 Speakers,"Webmaster World's World of Search Conference Features 70 Speakers\\The WebmasterWorld of Search Conference scheduled for November 16-18 in Las Vegas has published a final speaker roster and announced over 24 sessions with more than 70 industry-leading speakers. The line up features speakers from such companies as Google, Yahoo, Kanoodle, Ask ...",4.0,"{""Class Index"": ""3""}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Afghan Race Shaping Up as Battle of the Modern and Traditional,"More than 1,000 leathery, turbaned men gathered in a cavernous village mosque Friday for a presidential campaign rally. They no longer carried rifles, and some had even brought their small sons.",1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Braves' Smoltz May Rejoin Team's Rotation (AP),AP - John Smoltz might rejoin the Braves' rotation if Atlanta finds another closer.,2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Scientists Stumped by Dead Croakers (AP),"AP - Thousands of croakers have washed ashore at beaches along the Atlantic coast in recent days, the latest mass deaths of the popular sport fish.",4.0,"{""Class Index"": ""4""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",IPod Helps Lift Apple's Fourth-Quarter Profit,"The iPod helped Apple's profit get up and dance. Apple Computer Inc. reported Wednesday that net income for its fourth fiscal quarter jumped 140 percent from the same period a year ago. &lt;BR&gt;&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;",4.0,"{""Class Index"": ""3""}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",\$70 Billion Increase in War Funding Sought,"The Bush administration intends to seek the emergency funding for the wars in Iraq and Afghanistan early next year, officials said on Monday.",1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Monsanto Says Justice Dept Closes Inquiry," NEW YORK (Reuters) - Monsanto Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MON.N target=/stocks/quickinfo/fullquote""&gt;MON.N&lt;/A&gt; on Wednesday said  the U.S. Justice Department has closed an inquiry into  potential antitrust issues regarding a key ingredient used in  its Roundup herbicide.",3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Arafat #39;s body arrives in Cairo for funeral,The body of late Palestinian President Yasser Arafat has arrived in Cairo from Paris for a military funeral which presidents and other dignitaries from around the world are due to attend.,1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.","No Evidence Of Abuse At Guantanamo, says Australian Foreign &lt;b&gt;...&lt;/b&gt;",Australian Foreign Minister Alexander Downer says a US investigation has rejected allegations that Australian terror suspect David Hicks was abused while in US custody in Afghanistan and Cuba.,1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Congress Asks SEC for Mutual Fund Study, WASHINGTON (Reuters) - The U.S. Congress asked the  Securities and Exchange Commission on Saturday to send  lawmakers a report justifying a new rule forcing mutual fund  boards to have independent chairmen.,3.0,"{""Class Index"": ""1""}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Nevadans to benefit from sales tax deduction #39;s return,WASHINGTON -- Gaylyn Spriggs can remember two decades back when she would keep every grocery and department store receipt in a shoebox on a closet shelf.,3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Auburn is likely the odd team out,"Auburn has put together one of the greatest years in school history, claiming a spot in today #39;s Southeastern Conference title game against No.",2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Africa fights AIDS with girl power,A bill is currently in Uganda's parliament that would strengthen women's rights.,1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Baseballer shot on bus,CLEVELAND Indians righthander Kyle Denney was reported to be in a stable condition after being shot in the leg on the team bus yesterday.,2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.","Revelations on ""children overboard"" incident put pressure on Australian PM (AFP)",AFP - Australian Prime Minister John Howard was fighting to maintain his credibility after official transcripts backed up critics' claims about what he knew of a controversial 2001 sea rescue of boatpeople.,1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",NASA Chief Is Taking Off,"Named to head NASA by President Bush in December 2001, Sean O #39;Keefe acknowledged he had no experience in astronautics. His management style aimed at practical economy.",4.0,"{""Class Index"": ""4""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Momentum shifted on Garcia's stellar play,"BLOOMFIELD TOWNSHIP, Mich. -- Oh, how Match No. 2 in yesterday's singles proved a fitting contrast in emotions in the final act of the 35th Ryder Cup Matches.",2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Nintendo Returns to Profit (AP),AP - Nintendo Co. returned to profit in the first half of the fiscal year from a loss a year ago as the Japanese video-game maker erased foreign exchange losses and turned more profit with game-software sales.,4.0,"{""Class Index"": ""3""}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",China Reports Births of Two Giant Pandas (AP),"AP - For pandas, it's practically a baby boom. Two giant pandas were born this week, and mothers and cubs were doing fine, the official Xinhua News Agency reported Wednesday.",4.0,"{""Class Index"": ""4""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Warriors lock up young veterans,"Staring at the possibility of watching two of his young standouts stage a walkout on opening night, Chris Mullin made one of the most important decisions in recent Golden State Warriors history Monday.",2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",PM backs indigenous alcohol ban,"CURFEWS and alcohol bans may be necessary in Aboriginal communities, Prime Minister John Howard said today, adding that civil liberties were less important than staying alive.",1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.","Thanks for the Pageviews, Ivan",Bad weather has been very good for business at Weather.com and other popular forecasting sites. They are posting record traffic in the wake of Hurricane Ivan's arrival on the mainland. By Joanna Glasner.,3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Afghan court convicts US trio of torture,"KABUL, Afghanistan -- Three Americans -- led by a former Green Beret who boasted he had Pentagon support -- were found guilty yesterday of torturing Afghans in a private jail and were sentenced to prison.",1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Hampton Start Is Pushed Back Again (AP),"AP - Atlanta left-hander Mike Hampton was not able to pitch for the Braves on Wednesday, still bothered by a stiff neck that kept him out of his scheduled start Monday.",2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Softbank's hopes on mobile services dashed (FT.com),FT.com - Softbank's hopes of starting a mobile phone service were dealt a blow on Monday after the Japanese telecoms regulator decided not to allocate bandwidth to new entrants for the time being.,4.0,"{""Class Index"": ""3""}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.","Sudanese rebels, AU meet",Darfur #39;s rebel leaders held preliminary talks with African Union mediators in Abuja on Friday ahead of the latest round of peace negotiations on the crisis in the western Sudanese region.,1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Our mobile margins will fall: Telstra,TELSTRA chief financial officer John Stanhope has admitted Telstra #39;s margins in its \$4.5 billion a year mobile phone business will shrink this year in the face of increased price competition and the growing cost of acquiring new customers.,4.0,"{""Class Index"": ""3""}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.","Nets 96, Bobcats 89","EAST RUTHERFORD, NJ - In some ways, the New Jersey Nets are searching for an identity as much as the expansion Charlotte Bobcats. It #39;s the price of being dismantled in the offseason.",2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Tressel discounts replay,"COLUMBUS - Ohio State head coach Jim Tressel admitted it was a stretch to point to a videotape review of an apparent fumble by Wisconsin early in the third quarter of yesterday #39;s 24-13 loss to the Badgers, but a live microphone created some talk in the ",2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Worldwide PC Market Seen Doubling by 2010," NEW YORK (Reuters) - The number of personal computers  worldwide is expected to double to about 1.3 billion by 2010,  driven by explosive growth in emerging markets such as China,  Russia and India, according to a report released on Tuesday by  Forrester Research Inc.",4.0,"{""Class Index"": """"}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Sharon Survives 3 Parliament No-Confidence Votes, JERUSALEM (Reuters) - Prime Minister Ariel Sharon on Monday  narrowly survived three parliamentary no-confidence votes  sponsored by opposition parties over deepening poverty in  Israel.,1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",AOL's Viral Marketing,America Online will now provide gratis antivirus protection to its subscribers.,3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Is Google the Next Netscape?,"Is Google the Next Netscape?\\To draw a parallel between Netscape  #038; Google in their fight against Microsoft, it is necessary to examine the various similarities between the two situations and see if the tactics that worked then will work now. \",4.0,"{""Class Index"": ""3""}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.","Ford to Recall 474,000 SUVs Worldwide (Reuters)","Reuters - Ford Motor Co  said on Friday it\was recalling about 474,000 Escape and Mazda Tribute sport\utility vehicles globally because the accelerator cable may\prevent the engine from returning to the idle position, which\could increase stopping distance and result in a crash.",3.0,"{""Class Index"": """"}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",American Aaron Peirsol Wins Gold on Appeal, ATHENS (Reuters) - Aaron Peirsol won his second gold medal  at the Athens Olympics Thursday after winning an appeal against  his disqualification from the men's 200 meter backstroke.,2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Israel's Sharon Survives Two No-Confidence Votes (Reuters),"Reuters - Prime Minister Ariel Sharon survived\two no-confidence votes in Israel's parliament on Monday,\clinging to power as he seeks to push through a disputed plan\for withdrawal from some occupied territory.",1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Microsoft Reprimanded for Misleading Linux Ad (NewsFactor),"NewsFactor - The United Kingdom's advertising watchdog group, the Advertising Standards Association, has found that complaints lodged against a Microsoft (Nasdaq: MSFT) magazine ad that stated that Linux was more expensive than Windows were valid.",4.0,"{""Class Index"": ""3""}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.","Spurs 88, 76ers 80",The Philadelphia 76ers got a firsthand demonstration of why Tim Duncan might be the toughest player in the NBA to defend. Duncan scored a season-high 34 points and grabbed 13 rebounds to lead the Spurs to ,2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.","Exporters Lead Nikkei Up, Trade Slow"," TOKYO (Reuters) - The Nikkei average was up 0.37 percent in  mid-morning trade on Thursday as a recovery in the dollar  helped auto makers among other exporters, but trade was slow as  investors waited for important Japanese economic data.",3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Treasuries Slip as Stocks Rally," NEW YORK (Reuters) - U.S. Treasury debt prices slipped on  Monday, though traders characterized the move as profit-taking  rather than any fundamental change in sentiment.",3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Kerry to Go Hunting for Conservative Votes (AP),"AP - John Kerry planned to go hunting Thursday, showing he's a regular guy to voters who might harbor some doubts.",1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",McCain Optimistic About Steroid Test Deal (AP),"AP - Sen. John McCain is ""guardedly optimistic"" that major league baseball and its players could reach an agreement on tougher testing for steroids.",2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Electronic Data Delays Earnings for Navy Asset Audit (Update1),"Electronic Data Systems Corp., the world #39;s second-largest seller of computer services, delayed the release of third-quarter earnings while it reviews the value of a contract with the US Navy.",3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Bookings Decline at US Airways,US Airways Group Inc. attorneys and executives acknowledged in bankruptcy court yesterday that bookings had fallen more steeply than they had anticipated in reaction to their Chapter ,3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",He's caught up in hurricane,"There was the \$5 million Deutsche Bank Championship to prepare for and the Ryder Cup is a few weeks away, but the first order of business for Jim Furyk yesterday was to make sure his wife and children were headed for safety.",2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Virender Sehwag turns in 133 not out,Virender Sehwag #39;s smashing century spurred India in the second test match Friday after Australian leg-spinner Shane Warne surged to the top of test cricket #39;s all-time wicket-takers by dismissing Irfan Pathan for his 533rd wicket.,2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Republican Convention Light on Stars (AP),AP - The Republicans will have one sure Hollywood star for their convention  #151; California Gov. Arnold Schwarzenegger  #151; along with performers to keep the country music fans happy. But they'll be hard-pressed to match the Democratic convention's appeal to young voters led by Ben Affleck.,1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",The radical Islamic cleric was deported from Germany late Tuesday &lt;b&gt;...&lt;/b&gt;,"Turkish officials were doing what was necessary in regard to the return of Metin Kaplan, who was deported by Germany on Tuesday after a Cologne court ruled he could be extradited, Erdogan told reporters.",1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Halo 2 for Xbox Leaked Online,PC World has posted a news article claiming that the highly anticipated game Halo 2 for the Xbox has been released on the net.  quot;Microsoft confirms that a pirated copy of Halo 2 for Xbox in the PAL video format ,4.0,"{""Class Index"": ""4""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Nike Co-Founder Knight Steps Down as CEO (Reuters),"Reuters - Nike Inc.  co-founder\Philip Knight, who helped transform a small-start up business\into the world's biggest athletic shoe company, will step down\as chief executive officer, the company said on Thursday.",3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Employment Picture Expected to Improve,"NEW YORK - A rash of job cuts - more than 10,000 layoffs just this week from a handful of companies - has created some gloom on the jobs front. But Friday's release of jobs data for September was expected to show a steady unemployment rate and creation between about 50,000 to 250,000 new jobs, though uncertainties such as the effects of last month's hurricanes kept the estimates all over the map, said Wachovia Corp...",1.0,"{""Class Index"": ""3""}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Game on as Sony puts 100 tag on PSP system,"SONY is going head-to-head with Nintendo in the battle for the handheld games console market. The company will price its long-awaited PlayStation Portable (PSP) at about 100 for its launch in Japan, when ",4.0,"{""Class Index"": ""3""}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Iraq gears up for elections,"Iraq: Iraq geared up Monday for its first post-Saddam Hussein elections on January 30 despite relentless nationwide violence, as world powers gathered in Egypt for a conference on the country #39;s future.",1.0,"{""Class Index"": ""1""}",1.0
