prompt,Title,Description,Class Index,pred_answer,score
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Safin Clinches Third Paris Masters, PARIS (Reuters) - Marat Safin won the Paris Masters for a  record-equaling third time when he beat Czech qualifier Radek  Stepanek 6-3 7-6 6-3 on Sunday.,2.0,"{""Class Index"": ""2""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Magnificent Manning Sets Another Record, HOUSTON (Sports Network) - Indianapolis Colts quarterback  Peyton Manning threw two touchdown passes in the first quarter  of Sunday's game against the Houston Texans at Reliant Stadium  to set an NFL record for most consecutive games with multiple  TD throws.,2.0,"{""Class Index"": ""2""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Historic Turkey-EU deal welcomed,The European Union's decision to hold entry talks with Turkey receives a widespread welcome.,1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Next space station crew to launch,"Expedition 10, the next crew to live on the International Space Station (ISS), is set to launch from Kazakhstan. US astronaut Leroy Chiao and Russian cosmonaut Salizhan Sharipov will leave the Baikonur Cosmodrome on a Soyuz rocket at 0306GMT on Thursday.",4.0,"{""Class Index"": ""4""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Saboteurs Blow Up Oil Pipeline in Iraq (AP),"AP - Saboteurs blew up a pipeline in southern Iraq on Sunday in the latest attack targeting the country's crucial oil industry, a senior oil official said.",1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Afghan Forces Arrest 2 Taliban Leaders,"KANDAHAR, Afghanistan, Dec 14 -- Afghan forces have captured two top figures of the deposed Taliban government, including the personal security chief of leader Mohammad Omar, provincial officials said Tuesday.",1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Update 2: General Mills to Make Cereals Whole Grain,The Trix Rabbit and that Lucky Charms leprechaun are going on a whole-grain diet. General Mills announced Thursday that it will convert all of its breakfast cereals to whole grain.,3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",EPA: U.S. Waterways Contain Polluted Fish (AP),"AP - One of every three lakes in the United States, and nearly one-quarter of the nation's rivers contain enough pollution that people should limit or avoid eating fish caught there.",4.0,"{""Class Index"": ""4""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Behaviour control by smartphone,"The Massachusetts Institute of Technology is developing mobile phones designed to learn users #39; daily habits so that they can predict what users will do, reports The Register.",4.0,"{""Class Index"": ""4""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Barroso proposal to defuse EU Commissioner row rejected,The Socialist Group in the European Parliament (EP) on Thursday rejected a proposal by incoming European Commission President Jose Manuel Barroso designed to defuse a row over ,1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Gates: Microsoft to offer anti-spyware,"Company Chairman Bill Gates says ""this malware thing is so bad"" the software giant plans to offer its own tools.",4.0,"{""Class Index"": ""4""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Phoney eBay bidders fined,"EIGHT eBay sellers were ordered to pay nearly \$US90,000 (\$118,000) in restitution and fines after admitting they had bid on products to inflate the prices.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",UK House Prices Rise at Fastest Pace Since July (Update3),"UK house prices unexpectedly rose in November at the fastest pace since July, reinforcing expectations real estate values will level out, avoiding a collapse from records, according to Nationwide Building Society.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Arsenal loses again in Premier League,Arsenal dropped five points behind Chelsea in the English Premier League on Sunday after losing 2-1 to Liverpool on an injury-time goal by Neil Mellor.,2.0,"{""Class Index"": ""2""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",The Crusade Against Evolution,In the beginning there was Darwin. And then there was intelligent design. How the next generation of 'creation science' is invading America's classrooms. By Evan Ratliff from Wired magazine.,4.0,"{""Class Index"": ""1""}",0.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Delta pilots OK \$5B in concessions,"SAN FRANCISCO (CBS.MW) -- Pilots at Delta Air Lines approved a management-backed pay cut that will save the airline \$5 billion over the next five years, the pilots union said Thursday.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",China Says Taiwan Spy Also Operated in U.S. - Media," BEIJING (Reuters) - Beijing on Monday accused a  Chinese-American arrested for spying for Taiwan of building an  espionage network in the United States, and said he could go on  trial very soon.",1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Mounties left in dark by U.S. on deportation of Syrian-born Canadian (Canadian Press),"Canadian Press - OTTAWA (CP) - The Mounties provided information on Maher Arar to American authorities but were left in the dark when the U.S. deported the Canadian citizen to Syria, newly released documents show.",1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.","AL Wrap: Indians, Twins Split Unique Doubleheader", NEW YORK (Reuters) - Ben Broussard belted a two-run homer  to give the Cleveland Indians a 5-2 win over the Minnesota  Twins to salvage a split of a unique doubleheader on the final  day of the regular season on Sunday.,2.0,"{""Class Index"": ""2""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Desktop Search Avalanche Set to Hit,"Yahoo, Ask Jeeves, and Microsoft all plan to follow Google to the desktop.",4.0,"{""Class Index"": ""4""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Healthy Henman looking forward to Moodie match,"Tim Henman confirmed he was in good health, despite being diagnosed with a magnesium deficiency, after a straight-sets win over Antony Dupuis in the first round of the Davidoff Swiss Masters.",2.0,"{""Class Index"": ""2""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Titans Receiver Out With Knee Injury (AP),AP - Tennessee receiver Tyrone Calico will miss at least two to three weeks with torn cartilage in his left knee  #151; another big loss for the Titans' receiving corps.,2.0,"{""Class Index"": ""2""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Mosley Unable to Escape Winkys Jab,"Las Vegas, NV: You have to give credit to Sugar Shane Mosley. For the second time in his career, the former world champion valiantly tried to reverse a thorough beating by jumping headfirst into an immediate rematch.",2.0,"{""Class Index"": ""2""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Greenspan: Economy Regaining Traction," WASHINGTON (Reuters) - The U.S. economy is pulling out of  its recent soft patch and appears to be picking up steam,  Federal Reserve chief Alan Greenspan said on Wednesday in  remarks economists saw as cementing a September rate rise.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.","Revenge of the Sith turning DS, PSP, GBA to the dark side",Ubisoft and LucasArts are teaming up to bring the adaptation of the third Star Wars prequel to all portables; will be released alongside the game in Spring 2005.,4.0,"{""Class Index"": ""4""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Sun previews next version of Java,"Sun Microsystems on Monday night posted a prerelease, ""snapshot"" version of Java 2 Standard Edition 6.0, code-named Mustang, which represents the next generation of the Java platform.",4.0,"{""Class Index"": ""4""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",HGS Picks Watkins as New Chief Executive," Human Genome Sciences Inc. plans to announce today that it has hired a 20-year product development veteran from Abbott Laboratories Inc. as chief executive. H. Thomas Watkins, 51, will face the challenge of completing the Rockville company's makeover from gene hunter to drug marketer.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Pakistani leader arrives for talks,Pakistani President General Pervez Musharraf has arrived in Britain for a visit which will include talks with Prime Minister Tony Blair.,1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Japan Shares Fall to Low on Oil Worry," TOKYO (Reuters) - Japan's Nikkei share average fell 0.4  percent to a six-week closing low on Tuesday, marking an  eight-day losing streak, after oil prices topped \$50 a barrel,  fanning concern over the business outlook for Japanese  companies.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",French captives #39; fate mulled,"BAGHDAD, Iraq - An Islamic militant group that claimed to have kidnapped two French journalists said it would soon decide their fate, according to a message posted on a Web site Friday, and an Iraqi negotiator called the chance for their release  quot;excellent ",1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Vornado Buys 4.3 Pct. Sears Stake,"Vornado Realty Trust said on Friday it has acquired a 4.3 percent stake in the retailer Sears, Roebuck  amp; Co.. Sears #39; stock rose as high as \$45.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.","Strong Server, PC Sales Boost Microsoft Revenue",The company's earnings beat Wall Street expectations.,4.0,"{""Class Index"": ""3""}",0.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",MEPs threaten to sink commission over Buttiglione,"MEPs threatened last night to bring down the new European Commission before it even takes office, as a row sparked by controversial comments about homosexuality escalated into an unprecedented crisis.",1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Kuznetsova Beats Sharapova to Make China Open Final," BEIJING (Reuters) - U.S. Open champion Svetlana Kuznetsova  beat compatriot and Wimbledon champion Maria Sharapova 6-2, 6-2  for a place in the final of the \$585,000 China Open WTA  tournament on Saturday.",2.0,"{""Class Index"": ""2""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Soccer Coach Raymond Goethals Dies at 83 (AP),"AP - Raymond Goethals, the Belgian soccer coach who led Olympique Marseille to the 1993 European Champions Cup title, died Monday, according to news reports. He was 83.",2.0,"{""Class Index"": ""2""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Scientists Prepare for Huygens' Plunge into Titan,"UC Berkeley -- On Jan. 14, 2005, the Huygens probe will plow into the orange atmosphere of Saturn's moon, Titan, becoming the first spacecraft to attempt to land on a moon in our solar system since the Soviet Union's Luna 24 touched down on Earth's moon in 1976...",4.0,"{""Class Index"": ""4""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Air Canada shares,"Shares of the new Air Canada pushed higher as they began trading today, gaining more than 25 percent from their issue price of \$20.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Nigerian troops set off on AU peace mission to Darfur (AFP),"AFP - A 155-strong company of Nigerian infantry flew out of Abuja, heading for the war-torn western Sudanese region of Darfur to join an African Union force protecting ceasefire monitors.",1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Al Qaeda Urge Wide-Scale Muslim Resistance,Al Qaeda #39;s No. 2 man Ayman Zawahiri called for an all-out armed resistance in the Muslim world against the West and Jews whom he described as crusaders.,1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Iraq promises to release one of two high-profile women prisoners,"BAGHDAD Iraq promised Wednesday to release one of two high-profile women prisoners, but officials denied the decision was linked to demands by militants who purportedly killed two American hostages and are threatening to execute a Briton unless all female ",1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Ethiopia Agrees to Demarcate Most of Border," ADDIS ABABA (Reuters) - Ethiopian Prime Minister Meles  Zenawi said on Friday demarcation of most of the country's 600  mile border with Eritrea could begin immediately, raising hopes  a long-simmering border dispute could be resolved.",1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",US security official killed in Iraq attack,"A US security official, assigned to the US Embassy in Baghdad, was killed on Sunday by a mortar attack on a US Army base near Baghdad International Airport, US Secretary of State Colin Powell said.",1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Colombia Says Irish Fugitives Have Fled Country," BOGOTA, Colombia (Reuters) - Three Irish fugitives  convicted of teaching leftist Colombian guerrillas how to make  bombs have escaped the Andean country and are at large outside  its borders, Colombia's attorney general said late on Thursday.",1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Sun to enter content switch market,"Sun Microsystems Inc. plans later this month to unveil its first ever content switch: a load-balancing and SSL (Secure Sockets Layer) acceleration switch based on the Nauticus N2000 products that the Santa Clara, California, company acquired in January of this year.",4.0,"{""Class Index"": ""4""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Oracle case bounces to Europe,The European Commission is studying the U.S. court decision favoring Oracle's PeopleSoft buyout and deciding whether to pursue its own objections.,4.0,"{""Class Index"": ""3""}",0.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Microsoft Tests Advanced IM for Enterprises,"The Istanbul technology is meant to replace MSN chat and Windows Messenger. Microsoft has not released much information on the technology, which may not reach market until next year or even later.",4.0,"{""Class Index"": ""4""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Russia official gives Yukos assurance,Finance minister tells FT that asset sales to pay off tax debt will be market-oriented. MOSCOW (Reuters) - Russian Finance Minister Alexei Kudrin has promised that asset sales to pay off the tax debts of troubled ,3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.","Titantic is a treasure to be protected, explorer says",Legendary explorer Robert Ballard was nervous this summer as he prepared to return to the Titanic for the first time since he discovered the famous shipwreck nearly two decades ago.,4.0,"{""Class Index"": ""4""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Nortel to Release Delayed Financial Results,Nortel Networks said today that it will begin releasing restated and delayed financial results dating back to 2001 next week after a nine-month delay.,3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",PC Screen Price-Fall to Slow in Fourth Quarter (Reuters),"Reuters - Prices of computer screens are expected\to fall by less than 5 percent in the fourth quarter as the\market stabilizes on hopes of a pick-up in demand during the\Christmas season, a U.S.-based research firm said on Tuesday.",4.0,"{""Class Index"": ""3""}",0.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Microsoft Browser Market Share Slips Slightly,"Microsoft Corp. #39;s (MSFT.O: Quote, Profile, Research) share of the browser market slipped slightly in recent months but still dominated with 92.",4.0,"{""Class Index"": ""4""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Delta Air Lines Prepares Chapter 11 Filing,"Delta Air Lines Inc. could file for Chapter 11 bankruptcy protection as soon as next week, a source familiar with the matter said yesterday.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",SpaceShipOne's 2nd Shot at X Prize Slated for Monday (SPACE.com),"SPACE.com - The second attempt by the rocketplane SpaceShipOne to soar into space and snag \  the  #36;10 million Ansari X Prize is planned for Monday, officials announced last \  night.",4.0,"{""Class Index"": ""4""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Oracle to drop suit if takeover bid fails,"Oracle Corp. said Monday it will drop a lawsuit it filed in Delaware against PeopleSoft, its rival and takeover target, if a majority of PeopleSoft ",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",NBA ROUNDUP: O #39;Neal puts on a show for new fans in Miami,"MIAMI -- Shaquille O #39;Neal swatted away Boris Diaw #39;s lay-up to preserve a 26-point lead, then waved into a nearby television camera the moment he landed on his feet.",2.0,"{""Class Index"": ""2""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.","Dollar Stuck, CPI Offers Little Direction", TOKYO (Reuters) - The dollar moved in tight ranges on  Wednesday as most investors shrugged off lower-than-expected  U.S. inflation data and stuck to the view the U.S. Federal  Reserve would continue raising rates.,3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Ivory Coast violence deals economic blow,"Burned, looted shops dot the commercial capital. European airlines have suspended flights. And only a few ships remain in what was one of West Africa #39;s busiest ports.",1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.","Ford Down, Nissan Up in September Sales"," DETROIT (Reuters) - Ford Motor Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=F.N target=/stocks/quickinfo/fullquote""&gt;F.N&lt;/A&gt; posted its fourth  consecutive month of weaker U.S. sales with a 7 percent drop in  September results on Friday, and the automaker doubled its  incentives on some models to kick-start sales this month.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",More African troops go to Darfur,Germany sends three planes to Sudan's troubled Darfur region to help deploy more African Union troops.,1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",U.S. Rules Out Dam Removal for Salmon Recovery (Reuters),"Reuters - A Bush administration decision to\eliminate the possibility of removing dams to save endangered\U.S. Pacific Northwest salmon species is a huge blow to\protection efforts, an environmental group said on Wednesday.",4.0,"{""Class Index"": ""1""}",0.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",82 still missing in Chinese mine blast,"XINMI, China -- Desperate to know their loved ones' fates, grieving relatives scuffled with guards yesterday at the scene of China's worst mining accident this year as rescue workers pulled more bodies out of a mine shaft choked with poison gas.",1.0,"{""Class Index"": ""4""}",0.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Landmine kills Darfur aid workers,Two aid workers are killed in Sudan's Darfur region after their vehicle hit a landmine.,1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Baghdad Governor Assassinated; Bombing Kills 10, BAGHDAD (Reuters) - Gunmen killed the Baghdad governor in  Iraq's highest-profile assassination in eight months and a  suicide bomber killed 10 people near the Green Zone on Tuesday  in an escalating campaign to wreck a Jan. 30 election.,1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",CHAMPIONS LEAGUE: Expect a comfortable night for the Highbury boys,"The Gooners take their first step into European football this season tonight by welcoming Dutch league runners-up, PSV Eindhoven, to Highbury.",2.0,"{""Class Index"": ""2""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Forget Bextra,"NEW ORLEANS - This morning, Pfizer was blindsided as The New York Times reported information about a reanalysis of old data that say the drug giant #39;s Bextra, which is similar to Merck #39;s Vioxx, increased the risk of heart attacks and strokes.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Yukos considers self-destruction,"Shareholders in Yukos are considering liquidation or filing for bankruptcy, after deciding against a rescue plan for the embattled Russian oil firm.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Philippine President Says Country Faces Fiscal Crisis,Philippine president Gloria Arroyo warned that her country is in the midst of a fiscal crisis. A report by economists at the University of the Philippines said the country faces economic collapse ,3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Zarqawi group claims attack on Australian soldiers in Baghdad (AFP),"AFP - The group loyal to Al-Qaeda-linked militant Abu Mussab al-Zarqawi claimed to have bombed an Australian convoy in Baghdad, in a statement posted on an Islamist website.",1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",China Iron Mine Fire Death Toll Rises to 57," BEIJING (Reuters) - The death toll from a fire that swept  through an iron mine complex in the northern Chinese province  of Hebei rose to 57, with three miners still missing, Xinhua  news agency said on Monday.",1.0,"{""Class Index"": ""3""}",0.0
